employee_id,employee_name,department,role,base_salary,overtime_pay,bonus,deductions,net_pay,pay_period
1,Employee_1,HR,HR Specialist,4539,322,168,331,4698,2026-02
2,Employee_2,Sales,Account Manager,6389,564,120,471,6602,2026-02
3,Employee_3,Marketing,Marketing Specialist,5407,22,600,388,5641,2026-02
4,Employee_4,Sales,Account Manager,6495,333,191,455,6564,2026-02
5,Employee_5,Engineering,Software Engineer,5574,729,180,0,6483,2026-02
6,Employee_6,Marketing,Content Creator,7599,169,323,0,8091,2026-02
7,Employee_7,Engineering,Data Analyst,15342,277,87,356,15350,2026-02
8,Employee_8,HR,HR Specialist,15398,317,159,486,15388,2026-02
9,Employee_9,Marketing,Marketing Specialist,6195,507,6,0,6708,2026-02
10,Employee_10,Sales,Account Manager,7838,337,281,0,8456,2026-02
