employee_id,employee_name,department,role,base_salary,overtime_pay,bonus,deductions,net_pay,pay_period
1,Employee_1,Engineering,Data Analyst,3401,285,290,314,3662,2026-03
2,Employee_2,Finance,Accountant,6292,1120,495,451,7456,2026-03
3,Employee_3,Engineering,DevOps Engineer,7371,808,406,354,8231,2026-03
4,Employee_4,HR,HR Specialist,6867,884,134,397,7488,2026-03
5,Employee_5,HR,HR Specialist,4813,280,457,421,5129,2026-03
6,Employee_6,Finance,Accountant,8668,336,98,323,8779,2026-03
7,Employee_7,Engineering,Data Analyst,3994,724,413,461,4670,2026-03
8,Employee_8,Marketing,Content Creator,8556,488,237,429,8852,2026-03
9,Employee_9,Finance,Finance Analyst,3203,295,451,477,3472,2026-03
10,Employee_10,Engineering,Software Engineer,4776,384,47,386,4821,2026-03
